assists,bonus,bps,clean_sheets,creativity,dreamteam_count,goals_scored,ict_index,id,influence,minutes,points_per_game,red_cards,selected_by_percent,team,threat,total_points,transfers_in,transfers_out,yellow_cards,prices
2,13,447,9,290.7,3,2,96,239,472.2,2070,4.4,0,6.1,9,195,101,2916788,3438570,4,5
0,9,534,11,148,1,1,127.7,81,773.4,3240,3,0,3,4,350,109,321901,492488,6,5
0,2,97,2,11.4,0,0,14.1,129,101.2,551,2.2,0,0,6,29,18,7866,8154,1,4.5
1,11,584,9,75,2,1,93.1,376,692,3100,2.6,1,4.6,16,164,94,1434502,1318145,5,4.5
1,4,494,6,102.1,1,3,106.7,369,671.8,2574,2.9,1,2.8,16,294,86,1564607,1476302,3,5
0,0,81,2,29.5,0,0,13.8,402,68.8,487,2.3,0,0.1,17,40,14,3812,9900,2,4.5
0,0,0,0,0,0,0,0,170,0,0,0,0,1,7,0,0,140402,333730,0,4
0,0,136,3,93.5,0,0,22.2,332,109.8,822,2.2,0,0.2,14,18,28,23143,41480,1,4
0,0,50,0,22.1,0,1,18.3,519,79.6,270,3,0,4.1,4,81,9,1073282,876794,1,4
4,18,610,14,673,3,2,163.7,277,569.8,2298,4.9,1,10.6,12,394,138,3025558,2345577,5,6
0,3,169,2,3.6,1,0,17.7,584,166.2,732,2.2,0,0.1,17,6,27,17636,15009,0,4.5
2,5,194,3,42.4,1,1,30.6,246,179,690,4.2,0,0.4,11,84,42,270019,298593,2,5
1,10,432,9,366,2,1,102.1,67,484.4,2280,3.4,0,1.3,3,169,96,358303,285358,3,4.5
1,6,353,7,118.2,1,0,51.3,134,366.8,2255,2.5,0,1.2,6,28,66,175521,214694,5,4.5
0,11,531,14,79.8,2,4,79,273,520,1933,5.8,1,9.7,12,192,128,2788702,2135003,0,5.5
0,1,58,1,31.8,0,0,10.8,462,61,496,2.3,0,0,20,14,16,5394,6734,0,4
0,0,19,0,8.1,0,0,2.8,160,11,78,1.2,0,0.1,7,8,5,7972,20462,0,4
2,12,536,10,129,2,2,77.9,219,532.4,2473,3.9,0,1.4,9,115,109,364144,285961,7,5.5
0,0,0,0,0,0,0,0,314,0,0,0,0,0,13,0,0,463,3648,0,4
0,0,94,0,18.1,0,0,12.5,260,106.8,589,1.4,0,1,11,0,10,109938,379548,0,4
0,0,0,0,0,0,0,0,406,0,0,0,0,0.1,17,0,0,1531,9829,0,4
0,0,5,0,0,0,0,1.3,598,13.2,90,-3,0,0.1,16,0,-3,10880,8626,1,4
0,0,0,0,0,0,0,0,342,0,0,0,0,0.1,14,0,0,8201,20694,0,4
0,1,85,1,12,0,0,14,85,102.6,636,1.8,0,0.1,4,25,14,13483,22838,2,4
0,0,80,0,59.7,0,0,18.7,545,100.4,573,1.1,0,0,20,26,13,5829,5428,1,4
4,4,483,8,490.1,1,1,113.9,17,446.4,2299,3.6,0,4.3,1,201,96,1021214,1490791,4,5
0,0,5,0,0.1,0,0,0,242,0,6,1,0,0,11,0,2,2562,5274,0,4
0,3,124,3,2.2,1,1,20.7,39,147,630,4.6,0,0.1,2,57,32,80874,80700,2,4.5
0,6,481,9,72.6,4,5,99,110,577.8,2027,4.5,0,8,5,339,108,2559577,2248361,3,5.5
0,0,0,0,0,0,0,0,679,0,0,0,0,0,7,0,0,748,421,0,4
1,7,410,9,200.9,2,1,62.1,270,332.2,1944,3.8,0,4.9,12,88,91,1028369,1157940,1,5.5
3,7,498,9,262.2,1,0,107.5,375,497.6,2646,3.1,0,4.2,16,316,93,1200322,1724328,4,5
0,0,5,0,0.6,0,0,0.3,214,2.8,31,1,0,1.1,10,0,2,111096,146362,0,4
0,17,626,11,136.7,3,5,130.2,62,720.4,2932,3.9,2,5.9,3,443,130,1136216,1271208,5,5
0,0,0,0,0,0,0,0,615,0,0,0,0,0,20,0,0,3354,2523,0,4
