name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Owen Otasowie,MID,Wolves,0.5,0,0,0,0,0,442,5,0,0,0,0,2021-08-14T14:00:00Z,0,9,0,0,0,0,1,0,20548,0,1,0,0,0,0,0,45,FALSE,0,1
Gylfi Sigurdsson,MID,Everton,2.4,0,0,0,0,0,164,4,0,0,0,0,2021-08-14T14:00:00Z,0,16,0,0,0,0,1,0,144120,1,3,0,0,0,0,0,70,TRUE,0,1
Mattéo Guendouzi,MID,Arsenal,0,0,0,0,0,0,25,1,0,0,0,0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,221,0,2,0,0,0,0,0,45,FALSE,0,1
Shandon Baptiste,MID,Brentford,0.4,0,0,0,0,0,499,1,0,0,0,0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,2794,0,2,0,0,0,0,0,50,TRUE,0,1
Conor Coventry,MID,West Ham,2,0,0,0,0,0,522,9,0,0,0,0,2021-08-15T13:00:00Z,0,14,0,0,0,0,1,0,6773,4,2,0,0,0,0,0,45,FALSE,0,1
Oriol Romeu Vidal,MID,Southampton,1,0,0,12,0,6.3,335,4,2,0,2.2,7.4,2021-08-14T14:00:00Z,79,8,0,0,0,0,1,0,37248,1,3,8,2,0,0,0,45,FALSE,0,1
Christian Pulisic,MID,Chelsea,3.2,0,0,21,1,3.4,137,3,0,1,8.2,36.8,2021-08-14T14:00:00Z,81,7,0,0,0,0,1,0,94495,0,3,42,8,0,0,0,80,TRUE,0,1
Tom Cleverley,MID,Watford,0.9,1,0,17,0,12,381,8,1,0,3.7,22.8,2021-08-14T14:00:00Z,78,2,0,0,0,0,1,0,6655,2,3,2,5,0,0,0,50,TRUE,0,1
Pedro Lomba Neto,MID,Wolves,0,0,0,0,0,0,441,5,0,0,0,0,2021-08-14T14:00:00Z,0,9,0,0,0,0,1,0,2873,0,1,0,0,0,0,0,65,FALSE,0,1
Scott McTominay,MID,Man Utd,2.4,0,0,14,0,12.4,285,6,1,0,4.8,15.6,2021-08-14T11:30:00Z,68,10,0,0,0,0,1,0,36489,1,5,20,2,0,0,0,55,TRUE,0,1
Taylor Richards,MID,Brighton,1.5,0,0,0,0,0,537,2,0,0,0,0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,0,2,1,0,0,0,0,0,45,FALSE,0,1
Kalvin Phillips,MID,Leeds,0.9,0,0,0,0,0,191,6,0,0,0,0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,161941,1,5,0,0,0,0,0,50,FALSE,0,1
