name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Romain Perraud,DEF,Southampton,1.5,0,0,0,0,0,460,25,0,0,0,0,2021-08-28T14:00:00Z,0,14,0,0,0,0,3,0,8668,2,2,0,0,46,1142,1096,50,FALSE,0,3
Ben Davies,DEF,Spurs,1,0,0,0,0,0,364,27,0,0,0,0,2021-08-29T13:00:00Z,0,18,0,0,0,0,3,0,20070,0,1,0,0,-2494,788,3282,45,TRUE,0,3
Martin Kelly,DEF,Crystal Palace,-0.5,0,0,0,0,0,151,28,0,0,0,0,2021-08-28T14:00:00Z,0,19,0,0,0,0,3,0,83861,2,2,0,0,-6180,2828,9008,40,FALSE,0,3
Bernardo Fernandes Da Silva Junior,DEF,Brighton,0,0,0,0,0,0,68,22,0,0,0,0,2021-08-28T14:00:00Z,0,8,0,0,0,0,3,0,781,2,0,0,0,-83,0,83,40,TRUE,0,3
Luke Ayling,DEF,Leeds,3.5,0,0,12,0,2.9,185,29,1,0,1.6,13.4,2021-08-29T13:00:00Z,90,5,0,0,0,0,3,0,1017292,1,1,0,2,40545,118028,77483,45,FALSE,0,3
Mads Roerslev Rasmussen,DEF,Brentford,-0.5,0,0,0,0,0,89,21,0,0,0,0,2021-08-28T14:00:00Z,0,2,0,0,0,0,3,0,5123,1,1,0,0,-939,259,1198,44,FALSE,0,3
Jonny Evans,DEF,Leicester,0,0,0,0,0,0,201,26,0,0,0,0,2021-08-28T14:00:00Z,0,15,0,0,0,0,3,0,11680,2,1,0,0,-2008,187,2195,55,FALSE,0,3
Joe Rodon,DEF,Spurs,0,0,0,0,0,0,374,27,0,0,0,0,2021-08-29T13:00:00Z,0,18,0,0,0,0,3,0,6178,0,1,0,0,-2458,46,2504,44,TRUE,0,3
Finley Stevens,DEF,Brentford,0.5,0,0,0,0,0,569,21,0,0,0,0,2021-08-28T14:00:00Z,0,2,0,0,0,0,3,0,0,1,1,0,0,0,0,0,40,FALSE,0,3
Erik Pieters,DEF,Burnley,-0.2,0,0,0,0,0,100,29,0,0,0,0,2021-08-29T13:00:00Z,0,10,0,0,0,0,3,0,12528,1,1,0,0,-1384,301,1685,45,TRUE,0,3
Michael Keane,DEF,Everton,3,0,0,22,1,0.3,169,22,0,0,2.8,27.6,2021-08-28T14:00:00Z,90,4,0,0,0,0,3,0,187748,2,0,0,6,-20233,6562,26795,50,FALSE,0,3
Adam Masina,DEF,Watford,0.3,0,0,18,0,19.7,390,27,1,0,4.8,28.4,2021-08-29T13:00:00Z,90,17,0,0,0,0,3,0,8448,0,1,0,2,-1008,312,1320,45,FALSE,0,3
Ryan Sessegnon,DEF,Spurs,1,0,0,0,0,0,368,27,0,0,0,0,2021-08-29T13:00:00Z,0,18,0,0,0,0,3,0,10343,0,1,0,0,-1373,266,1639,44,TRUE,0,3
Daniel Amartey,DEF,Leicester,3.7,0,0,16,0,11.1,208,26,1,0,2.9,18.2,2021-08-28T14:00:00Z,90,15,0,0,0,0,3,0,1398589,2,1,0,2,79847,159602,79755,41,FALSE,0,3
César Azpilicueta,DEF,Chelsea,4.7,0,0,16,0,5.4,119,23,1,0,4.3,34,2021-08-28T16:30:00Z,90,11,0,0,0,0,3,0,306416,1,1,4,2,-12621,13353,25974,60,FALSE,0,3
Dan Burn,DEF,Brighton,0,0,0,0,0,0,58,22,0,0,0,0,2021-08-28T14:00:00Z,0,8,0,0,0,0,3,0,2106,2,0,0,0,-343,80,423,45,TRUE,0,3
Andrew Omobamidele,DEF,Norwich,-1,0,0,0,0,0,331,26,0,0,0,0,2021-08-28T14:00:00Z,0,9,0,0,0,0,3,0,96417,2,1,0,0,-9439,2033,11472,40,TRUE,0,3
Ryan Bertrand,DEF,Leicester,1,0,0,0,0,0,473,26,0,0,0,0,2021-08-28T14:00:00Z,0,15,0,0,0,0,3,0,76869,2,1,0,0,-25439,1530,26969,49,FALSE,0,3
Lucas Digne,DEF,Everton,2.7,0,0,19,1,6.8,168,22,0,0,2.1,4,2021-08-28T14:00:00Z,90,4,0,0,0,0,3,0,1114963,2,0,10,6,-213807,29188,242995,55,FALSE,0,3
Sead Kolasinac,DEF,Arsenal,-0.8,0,0,3,0,0,11,24,5,0,0.4,4,2021-08-28T11:30:00Z,90,12,0,0,0,0,3,0,8749,0,5,0,-1,-1098,362,1460,44,FALSE,1,3
Craig Dawson,DEF,West Ham,1.8,0,0,17,0,0.8,414,28,2,0,6.3,26.6,2021-08-28T14:00:00Z,90,7,0,0,0,0,3,0,30911,2,2,36,1,5009,8110,3101,50,TRUE,0,3
Ben White,DEF,Arsenal,-0.1,0,0,0,0,0,67,24,0,0,0,0,2021-08-28T11:30:00Z,0,12,0,0,0,0,3,0,1121034,0,5,0,0,-439383,8702,448085,44,FALSE,0,3
Thiago Emiliano da Silva,DEF,Chelsea,0.3,0,0,9,0,0,121,23,0,0,3.1,30.8,2021-08-28T16:30:00Z,45,11,0,0,0,0,3,0,173055,1,1,0,1,-42841,3013,45854,54,FALSE,0,3
Kurt Zouma,DEF,West Ham,0,0,0,0,0,0,128,28,0,0,0,0,2021-08-28T14:00:00Z,0,7,0,0,0,0,3,0,65227,2,2,0,0,-20687,782,4218,54,TRUE,0,3
Aaron Cresswell,DEF,West Ham,5.2,1,1,26,0,17.2,411,28,2,0,3.9,20.2,2021-08-28T14:00:00Z,90,7,0,0,0,0,3,0,1402594,2,2,2,5,24456,117301,92845,55,TRUE,0,3
Federico Fernández,DEF,Newcastle,0.2,0,0,11,0,0,465,25,2,0,3.3,33.4,2021-08-28T14:00:00Z,90,16,0,0,0,0,3,0,16143,2,2,0,1,-978,1115,2093,45,TRUE,0,3
Mohammed Salisu,DEF,Southampton,2.2,0,0,16,0,12.3,351,25,2,0,6,27.6,2021-08-28T14:00:00Z,90,14,0,0,0,0,3,0,11280,2,2,20,1,2703,3996,1293,45,FALSE,0,3
Matt Ritchie,DEF,Newcastle,1.2,0,0,12,0,11.3,292,25,2,0,2.6,10.4,2021-08-28T14:00:00Z,90,16,0,0,0,0,3,0,26614,2,2,4,1,208,4934,4726,50,TRUE,0,3
Ryan Fredericks,DEF,West Ham,0.8,0,0,0,0,0,415,28,0,0,0,0,2021-08-28T14:00:00Z,0,7,0,0,0,0,3,0,10821,2,2,0,0,-996,582,1578,45,TRUE,0,3
