assists,bonus,bps,clean_sheets,corners_and_indirect_freekicks_order,creativity,creativity_rank,direct_freekicks_order,dreamteam_count,first_name,second_name,element_type,goals_scored,ict_index,ict_index_rank,id,influence,influence_rank,minutes,penalties_missed,penalties_order,points_per_game,red_cards,saves,selected_by_percent,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_out,yellow_cards,prices
0,0,230,3,0,46.7,346,4,0,David,Luiz Moreira Marinho,DEF,1,43.9,310,3,250.6,264,1396,0,0,2,1,0,0.8,1,3,144,244,70,41,77302,131045,1,5
0,3,256,4,0,20,389,0,0,Davinson,Sanchez,DEF,0,45.5,302,398,319.2,228,1486,0,0,2.4,0,0,0.7,17,6,114,271,85,43,71573,108517,1,4.5
0,0,68,1,0,41.8,350,0,0,DeAndre,Yedlin,DEF,0,12,413,335,58.6,412,435,0,0,2.2,0,0,0.2,14,4,20,388,146,13,35572,56824,0,4
0,3,255,4,0,51,340,0,1,Diego,Llorente,DEF,1,46,301,549,293,236,1203,0,0,3.3,0,0,0.6,10,2,115,267,82,50,77650,34721,1,4.5
0,0,24,1,0,7.7,433,0,0,Emerson,Palmieri dos Santos,DEF,0,2.7,463,111,17.4,457,88,0,0,3.5,0,0,0.1,5,8,2,446,168,7,10496,19910,0,4
1,0,222,5,0,87.7,293,0,0,Emil,Krafth,DEF,1,41.6,317,333,240.4,270,1286,0,0,2.8,0,0,0.2,14,4,88,297,97,45,18860,13917,4,4.5
0,6,178,3,0,8.3,429,0,0,Eric,Bailly,DEF,0,21.1,378,310,175.6,311,915,0,0,2.6,0,0,0.3,13,1,26,382,143,31,76269,83092,3,5
0,2,463,8,0,82.2,304,3,0,Eric,Dier,DEF,0,77.4,212,391,577,85,2520,0,0,2.8,0,0,2.4,17,6,114,269,84,77,783222,766145,3,4.5
0,0,64,0,0,26.4,380,0,0,Eric,Garcia,DEF,0,9.8,422,288,67.6,405,380,0,0,1,0,0,0.2,12,43,5,429,163,6,13209,26712,0,4
3,5,203,3,5,77,310,0,0,Erik,Pieters,DEF,0,34,343,83,199.4,291,1260,0,0,2.5,0,0,0.4,4,90,63,336,115,50,134740,197341,1,4.5
3,7,449,10,0,423,76,0,3,Ezgjan,Alioski,DEF,2,118.5,103,201,477.8,147,2456,0,0,3.1,0,0,3.2,10,2,281,144,19,110,593961,399434,7,5
0,8,580,12,0,34.2,359,0,1,Ezri,Konsa Ngoyo,DEF,2,101,146,46,695.6,49,3195,0,0,3.3,0,0,6.2,2,7,276,150,22,119,1426216,1059500,3,5
